Tables;Description
bdat_cantonXXXX;Analyses cantonales de la BDAT provenant du datapaper
bdat_depart_XXXX;Analyses départementales de la BDAT provenant du datapaper
bdat_pra_XXXX;Analyses par petites régions agricoles de la BDAT provenant du datapaper
bdat_region_XXXX;Analyses régionales de la BDAT provenant du datapaper
bdat_canton_corgco_XXXX;Analyses après ré-échantillonnage des teneurs en carbone organique issues de la méthode combustion sèche (co)
bdat_canton_corgco_compXX;Comparaison entre deux périodes de la médiane des teneurs en carbone organique  après ré-échantillonnage pour la méthode combustion sèche (co)
bdat_canton_corgequivXXXX;Analyses après ré-échantillonnage des teneurs en carbone organique issues des deux méthodes (ox et co)
bdat_canton_corgequiv_comp_XX;Comparaison entre deux périodes de la médiane des teneurs en carbone organique  après ré-échantillonnage pour les deux méthodes (ox et co)
bdat_canton_corgox_XXXX;Analyses après ré-échantillonnage des teneurs en carbone organique issues de la méthode oxydation humide (ox)
bdat_canton_corgox_comp_XX;Comparaison entre deux périodes de la médiane des teneurs en carbone organique  après ré-échantillonnage pour la méthode oxydation humide (ox)
