"","corgox_medequi9599","hpluie_an","jchauds_an","jfroids_an","ttemp_an","pluie_ecart_janv","pluie_ecart_juil","ampli_t_juil_janv","jpluie_janv","jpluie_juil","altimean","p_sfp1988","polyelevage1988","p_prairie1970","p_prairie1979","p_prairie1988","p_sfp1970","p_sfp1979","p_mf1988","p_sth1970","p_sth1979","p_c1988","p_c1970","p_c1979","p_sth1988","p_mf1970","p_mf1979","p_mf1988.1","clc31_90","clc21_90","clc22_90","clc23_90","clc24_90","clc31_90.1","ugbgrani_sau2010","ugbta1988","id_geofla","residues"
"22",27,951.25,1.6375,1.2625,11.6,-36.8625,-32.3375,11.9625,13.925,7.0625,86.9722293307714,72.5883476599809,58.5485854858549,64.711137581894,62.2713738834538,50.6502093894644,68.262358546754,77.5485608960726,18.9699507751084,37.2989874925551,19.8355309797249,22.9152891044009,17.4806432400238,14.3059690911669,21.2548673866725,2.75461584276355,14.7384091875798,18.9699507751084,605.253173284697,850.979962547095,0,364.874369620839,860.898300105414,605.253173284697,1.84429724379473,3.7949452648593,857,-0.425840863369007
"27",5.5,676,5.3,3.2,11.6,3.6,-2.9,14.7,10.8,6.7,102.355373604313,39.2454679078883,9.52380952380952,28.4503631961259,23.6315086782377,35.8157765801078,35.956416464891,28.9719626168224,3.38069573738364,23.6481033091203,11.3039608366711,28.8584027437531,41.4043583535109,38.5402759234535,19.5492405683488,0.201775625504439,3.02625723186471,3.38069573738364,754.89949910629,1232.516316267,19.891782020926,56.297405031681,1252.09300761985,754.89949910629,0.00391542678151919,0.402743753062224,3540,-0.519254860395679
"30",14.53,865.166666666667,4.93333333333333,1.55,12.9666666666667,-16.2333333333333,-26.55,13.8333333333333,12.55,6.55,14.4558560212367,28.2923755513548,5.66037735849057,33.1246086412023,40.3706921517521,26.7800882167612,49.0607388854101,41.8476686938894,1.32325141776938,27.1759549154665,27.1068635968723,43.8563327032136,38.6349405134627,48.7691862148856,20.5734089477001,1.18973074514715,1.18737329858094,1.32325141776938,281.257274690539,364.980589320877,17.1998100531666,63.6502253577128,175.82550049214,281.257274690539,0.00235610905419051,0.352236925015753,3121,-0.151059387780551
"39",8.04,917.5,7.23,4.2,11.42,5.87,-9.81,18.01,11.16,7.51,191.802280653527,63.7606562650796,46.1538461538462,60.2055800293686,61.5349682107175,60.3828212964452,62.7606461086637,63.6088404480775,3.26524046967991,55.8590308370044,57.1450196790796,30.1914106482226,32.5844346549192,34.0750832576446,55.5895126266688,0.881057268722467,1.90735694822888,3.26524046967991,168.957741440397,160.1835558465,0,325.717139626919,338.879834316483,168.957741440397,0.165465213746857,0.86376065626508,1383,-0.940256801872708
"56",27.91,820.5,5.7,1.75,12.225,-15.2625,-23.8,14.3625,12.4,6.65,19.7023560511283,24.5088779750661,15.5378486055777,29.5210344199599,36.9945355191257,20.3343407631281,51.1473319978146,46.3570127504554,3.6361919153759,23.1833910034602,18.5610200364299,54.9867774839441,39.3188854489164,46.4389799635701,12.7313940309785,0.600983427426698,7.06739526411658,3.6361919153759,67.0032471259279,1016.22796355311,0,296.179649943692,213.584560436314,67.0032471259279,0.393930377863731,0.752077823951643,1180,0.101209575619716
"83",22.54,718.714285714286,1.58571428571429,3.14285714285714,10.4428571428571,-5.08571428571429,-10.2142857142857,12.7857142857143,11.7,7.55714285714286,141.866700905718,36.1244566460764,34.7368421052632,42.6601423487544,40.169696969697,30.8625028597575,55.7161921708185,44.8242424242424,4.09517272935255,42.6601423487544,33.2363636363636,38.6639212994738,36.5213523131673,44.1454545454545,27.2935255090368,1.51245551601423,4.63030303030303,4.09517272935255,167.990642159932,483.868438995441,0,200.75762691334,44.7614825188044,167.990642159932,0.24407936846597,0.827270647449096,1498,1.2923709763242
"120",26.72,1074,10.6,4.7,12.4,-16.8,-46,16.2,10.3,4.8,688.553747246512,89.1954690676735,51.219512195122,63.5264997087944,80.2888194134286,84.0981702004066,82.3966220151427,84.5020098258151,0.130699970955562,60.4542807221899,60.9647163912461,10.5431309904153,15.0262085032033,14.2474318892363,64.2462968341563,0.145602795573675,0.178651183564091,0.130699970955562,5550.657285485,1784.7094774836,0,1276.4657007583,1845.54784587786,5550.657285485,0.00910364145658263,0.492884112692419,3496,-0.328577797915028
"131",13.49,775.8,5.37,4.33,10.44,-1,-7.81,15.79,12.26,7.77,210.285228550702,11.0228122662678,5.0314465408805,14.3666570632863,16.264944080216,9.92894540014959,24.7287045039854,18.3571153104512,1.04712041884817,11.1687313934505,10.5090628615503,63.6967090501122,68.6449630269855,77.9309679907443,7.18960359012715,1.30605973302603,1.96683378326263,1.04712041884817,839.578730144893,1054.89981006643,0,47.5846155009571,107.368885555512,839.578730144893,0.135413815129118,0.214285714285714,60,-0.340361010773625
"155",33.27,1151,1.2,0.7,11.5,-37.7,-45.6,11,16,8.1,84.5707530409357,62.9186602870813,56.3025210084034,59.6514745308311,50.8440514469453,46.4114832535885,66.6219839142091,71.7041800643087,14.2105263157895,17.9624664879357,15.2733118971061,29.9043062200957,26.6085790884718,21.0209003215434,13.7320574162679,1.91018766756032,11.8569131832797,14.2105263157895,592.80641692539,718.7301126333,0,302.40085254536,1929.771032667,592.80641692539,1.07896399241946,4.32488038277512,3229,-0.0177755873535972
"180",24.77,1072.75,2.15,8.525,8,-3.575,-33.575,15.7,10.3,6.025,1157.00479703278,91.2951167728238,74.390243902439,88.527397260274,91.7585050311452,91.1677282377919,91.8897882938979,91.934195815365,0.0424628450106157,81.7714819427148,78.453921098866,8.3864118895966,7.3318804483188,7.34706915828142,73.588110403397,0.171232876712329,0.127775115796199,0.0424628450106157,1599.5220862189,0,0,276.661963602123,381.590702718067,1599.5220862189,0.000785545954438335,0.559447983014862,1176,-0.520832531676493
